Loan Amount,<=50,50.01-55,55.01-60,60.01-65,65.01-70,70.01-75,75.01-80,80.01-85,85.01-90
Loan Amount < $125000,0.25,0.25,0.25,0.25,0.25,0.25,0.375,0.5,1.125
Loan Amount $125000-$299999,0,0,0,0,0,0,0,0.125,0.125
Loan Amount $300000-$749999,0,0,0,0,0,0.1,0.1,0.1,0.1
Loan Amount $750000 - $2000000,-0.125,-0.125,-0.125,-0.125,0.125,0.125,0.125,0.125,0.125
Loan Amount $2000001 - $4000000,0,0,0,0,0.125,0.125,0.125,0.125,NA
Loan Amount $4000001 - $6000000,0,0,0.125,0.125,NA,NA,NA,NA,NA
